Month,Date,Gear Type,Sex,Shell_Height,Total_Viscera_Weight,Meat_Weight,Gonad_Weight,GSI
7,2023/07/13,W,M,95,57.2,21.46,9.24,16.154
7,2023/07/13,W,M,97,59.19,20.96,12.71,21.473
7,2023/07/13,W,M,113,76.3,27.06,8.35,10.944
7,2023/07/13,W,M,112,84.04,29.43,10.25,12.197
7,2023/07/13,W,M,104,67.81,20.22,16.37,24.141
7,2023/07/13,W,F,91,61.66,20.06,11.35,18.407
7,2023/07/13,W,F,84,33.1,12.83,1.9,5.740
7,2023/07/13,W,F,98,49.41,23.06,6,12.143
7,2023/07/13,W,F,102,62.38,27.66,5.42,8.689
7,2023/07/13,W,F,94,57.2,16.85,19.51,34.108
7,2023/07/13,C,M,101,52.63,18.65,6.31,11.989
7,2023/07/13,C,M,117,74.64,28.05,8.74,11.710
7,2023/07/13,C,M,100,63.18,23.9,6.3,9.972
7,2023/07/13,C,M,110,71.25,28.96,5.62,7.888
7,2023/07/13,C,F,109,99.22,40.8,15.41,15.531
7,2023/07/13,C,F,109,73.21,29.65,4.03,5.505
7,2023/07/13,C,F,116,87.24,35.53,10.73,12.299
7,2023/07/13,N,M,108,141.74,58.45,21.38,15.084
7,2023/07/13,N,M,109,100.06,32.09,16.31,16.300
7,2023/07/13,N,M,110,94.66,37.88,14.84,15.677
7,2023/07/13,N,M,104,81.51,32.83,11.16,13.692
7,2023/07/13,N,M,105,97.65,38.63,20.03,20.512
7,2023/07/13,N,F,114,NA,43.63,7.96,NA
7,2023/07/13,N,F,103,80.4,25.56,21.54,26.791
7,2023/07/13,N,F,108,85.99,35.53,9.52,11.071
7,2023/07/13,N,F,124,124.87,53.51,13.3,10.651
7,2023/07/13,N,F,117,128.53,53.36,16.05,12.487
8,2023/08/14,C,M,111,90.13,28.59,19.08,21.169
8,2023/08/14,C,M,117,95.67,27.37,22.31,23.320
8,2023/08/14,C,M,110,76.04,25.58,10.27,13.506
8,2023/08/14,C,F,104,90.56,27.38,22.88,25.265
8,2023/08/14,C,F,103,72.77,28.92,6.33,8.699
8,2023/08/14,C,F,106,78.41,25.33,20.55,26.208
