Date-Time (EDT),"Net Top, Temperature (°F)","Cage, Temperature (°F)","Cage, Light (lum)","Net Bottom, Temperature (°F)","Net Bottom, Light (lum)","Wild, Temperature (°F)"
6/15/23 11:00,51.78,50.99,128,51.07,24,
6/15/23 12:00,52.23,51.45,306,51.53,38,
6/15/23 13:00,52.86,51.76,267,51.92,33,
6/15/23 14:00,52.61,51.92,798,52.07,62,
6/15/23 15:00,52.81,52,693,52.07,73,
6/15/23 16:00,53.85,52.07,486,52.15,72,
6/15/23 17:00,53.42,52,273,52.54,55,
6/15/23 18:00,53.29,52.07,118,52.23,33,
6/15/23 19:00,52.61,52.07,45,52.38,13,
6/15/23 20:00,52.57,52,4,52,1,
6/15/23 21:00,52.25,51.61,0,51.92,0,
6/15/23 22:00,52.21,51.22,0,51.84,0,
6/15/23 23:00,52.17,51.15,0,51.61,0,
6/16/23 0:00,51.86,51.53,0,51.69,0,
6/16/23 1:00,51.76,51.69,0,51.45,0,
6/16/23 2:00,51.71,51.69,0,51.45,0,
6/16/23 3:00,51.67,51.69,0,51.45,0,
6/16/23 4:00,51.65,51.76,0,51.53,0,
6/16/23 5:00,51.59,51.61,6,51.38,1,
6/16/23 6:00,51.67,51.69,65,51.45,10,
6/16/23 7:00,51.76,51.69,108,51.45,18,
6/16/23 8:00,51.94,51.61,181,51.53,30,
6/16/23 9:00,52.52,51.76,229,51.76,35,
6/16/23 10:00,52.69,51.3,308,51.84,42,
6/16/23 11:00,53.23,50.84,431,51.61,50,
6/16/23 12:00,52.81,50.76,537,52.3,43,
6/16/23 13:00,53.17,52.07,596,52.54,59,
6/16/23 14:00,53.15,52.54,646,52.69,65,
6/16/23 15:00,54.06,52.3,571,52.23,67,
6/16/23 16:00,53.71,52.38,445,52.61,67,
6/16/23 17:00,54.43,52.46,289,52.69,57,
6/16/23 18:00,54.06,52.3,131,53,36,
6/16/23 19:00,53.73,52.38,43,52.61,14,
6/16/23 20:00,53.15,52.23,6,52.46,1,
6/16/23 21:00,52.98,52.15,0,52.23,0,
6/16/23 22:00,52.61,51.22,0,52.15,0,
6/16/23 23:00,52.5,50.68,0,52.23,0,
6/17/23 0:00,52.25,51.69,0,52,0,
6/17/23 1:00,52.23,52,0,52,0,
6/17/23 2:00,52.17,52.15,0,51.92,0,
6/17/23 3:00,52.21,52.15,0,52,0,
6/17/23 4:00,52.19,52.07,0,51.92,0,
6/17/23 5:00,52.34,52.23,1,52.23,0,
6/17/23 6:00,52.44,52.15,17,52.07,2,
6/17/23 7:00,52.42,52.23,41,52.15,6,
6/17/23 8:00,52.38,52.15,46,52.07,8,
6/17/23 9:00,52.46,52.15,84,52.15,16,
6/17/23 10:00,52.36,51.84,66,52.07,13,
6/17/23 11:00,52.3,51.3,49,52,10,
6/17/23 12:00,52.21,51.22,74,52,16,
6/17/23 13:00,52.13,51.3,105,51.84,19,
6/17/23 14:00,52.03,51.38,73,51.76,12,
6/17/23 15:00,52.09,51.53,33,51.76,5,
6/17/23 16:00,52.4,51.92,22,52.15,3,
6/17/23 17:00,52.36,51.92,9,52.07,1,
6/17/23 18:00,52.46,52.07,5,52.23,1,
6/17/23 19:00,52.52,52.23,5,52.23,1,
6/17/23 20:00,52.57,52.38,1,52.3,0,
6/17/23 21:00,52.56,52.46,0,52.3,0,
6/17/23 22:00,52.54,51.61,0,52.3,0,
6/17/23 23:00,52.5,51.61,0,52.3,0,
6/18/23 0:00,52.52,51.45,0,52.3,0,
6/18/23 1:00,52.46,51.61,0,52.23,0,
6/18/23 2:00,52.23,52.15,0,52.07,0,
